"location","State.x","County","X..Smokers","X..Adults.with.Obesity","X..Physically.Inactive","X..With.Access.to.Exercise.Opportunities","X..Excessive.Drinking","X..Uninsured","Primary.Care.Physicians.Ratio","Mental.Health.Provider.Ratio","X..Vaccinated","X..Unemployed","X..Children.in.Poverty","Average.Daily.PM2.5","X","State.y","Life.Expectancy","Premature.age.adjusted.mortality","Age.Adjusted.Death.Rate","Child.Mortality.Rate","Infant.Mortality.Rate","Frequent.Physical.Distress","Frequent.Mental.Distress","Adults.with.Diabetes","HIV.Prevalence.Rate","Food.Insecure","Limited.Access.to.Healthy.Foods","Insufficient.Sleep","Uninsured.adults","Other.Primary.Care.Provider.Ratio","Median.Household.Income","Suicide.Rate..Age.Adjusted.","Average.Traffic.Volume.per.Meter.of.Major.Roadways","Population","less.than.18.years.of.age","pp.65.and.over","mean","sd","median","days","agg"
"Pennsylvania Beaver","Pennsylvania","Beaver",19,33,27,84,20,5,"2340:1","1005:1",45,4.5,16,11,625,"Pennsylvania",76.8,2692,417,46,6,11,13,13,NA,12,12,37,6,"1318:01:00",54823,14,87,164742,19.4,21.5,9.889665889,5.361038514,9,9212,91103.60217
"Pennsylvania Berks","Pennsylvania","Berks",17,36,26,86,19,8,"1595:1","719:1",53,4.2,17,10,626,"Pennsylvania",79.2,4682,319,47,6,13,13,13,NA,9,3,39,8,"1225:01:00",62519,14,181,420152,22.3,17.2,10.29897386,6.398729593,8.8,9735,100260.5105
"Pennsylvania Blair","Pennsylvania","Blair",19,31,26,75,20,6,"1187:1","417:1",43,4.2,19,11.2,627,"Pennsylvania",76.9,1882,399,54,6,12,14,15,NA,12,8,34,7,"592:01:00",49244,14,144,122492,20.4,20.8,9.954931502,5.675041455,8.98125,6602,65722.45778
"Pennsylvania Bradford","Pennsylvania","Bradford",18,38,32,60,19,8,"1087:1","1484:1",45,4.4,17,9,628,"Pennsylvania",78.4,857,361,41,5,12,13,14,NA,11,4,32,9,"428:01:00",50978,22,68,60833,22,21.3,7.17340708,4.016195608,6.686667,2715,19475.80022
"Pennsylvania Bucks","Pennsylvania","Bucks",14,27,18,89,18,5,"1170:1","411:1",57,3.7,7,10.1,629,"Pennsylvania",79.7,6966,297,30,4,10,11,8,NA,8,4,35,6,"1547:01:00",88538,12,261,628195,20.4,18.6,11.27730532,6.989573282,9.5,5869,66186.50491
"Pennsylvania Cambria","Pennsylvania","Cambria",18,27,26,80,19,5,"1232:1","509:1",39,5.2,23,11.6,630,"Pennsylvania",75.8,2326,455,51,6,12,14,14,NA,13,9,36,6,"712:01:00",45163,19,86,131730,19.2,22.6,11.17172975,6.067004088,10,7953,88848.76672
"Pennsylvania Centre","Pennsylvania","Centre",17,25,18,86,24,7,"1322:1","495:1",55,3.2,11,8.9,631,"Pennsylvania",82.9,1033,208,24,4,11,13,8,NA,13,4,31,7,"915:01:00",58258,10,145,162805,15,14.2,9.179738158,5.432296755,8.2,8485,77890.07827
"Pennsylvania Chester","Pennsylvania","Chester",15,22,17,85,22,6,"1170:1","435:1",58,3.2,8,10.4,632,"Pennsylvania",81.4,4480,244,29,4,10,11,9,NA,8,6,31,7,"1165:01:00",99224,12,142,522046,22.6,16.3,10.67057248,6.039020816,9.329167,8193,87424.00036
"Pennsylvania Cumberland","Pennsylvania","Cumberland",16,29,21,83,20,7,"1083:1","506:1",55,3.3,9,9.8,633,"Pennsylvania",79.8,2729,300,43,5,10,12,10,NA,9,5,34,7,"914:01:00",71695,14,230,251423,20.3,18.5,11.00190704,6.903490043,9.5,10090,111009.242
"Pennsylvania Dauphin","Pennsylvania","Dauphin",19,34,24,83,19,7,"925:1","444:1",50,4,21,10.7,634,"Pennsylvania",78.5,3538,362,60,8,12,13,11,NA,13,8,33,7,"441:01:00",57979,14,355,277097,22.5,17,10.49004874,6.620067436,8.95,8386,87969.54874
"Pennsylvania Delaware","Pennsylvania","Delaware",15,27,20,97,21,6,"935:1","360:1",55,4,11,11.9,635,"Pennsylvania",78.5,6831,356,50,8,11,12,10,NA,12,2,38,7,"1153:01:00",71961,13,506,564751,21.9,16.4,10.8485656,5.975925927,9.683333,10627,115287.7067
"Pennsylvania Erie","Pennsylvania","Erie",20,34,24,88,22,6,"1265:1","508:1",51,4.7,21,10.9,636,"Pennsylvania",77.4,3856,393,49,7,12,14,10,NA,14,9,38,8,"620:01:00",48453,18,191,272061,21.4,18,9.803702682,5.503104356,8.9,7033,68949.44096
"Pennsylvania Fayette","Pennsylvania","Fayette",21,40,35,58,18,6,"2684:1","303:1",42,5.8,20,11.5,637,"Pennsylvania",75,2446,480,67,8,13,14,14,NA,15,8,40,7,"900:01:00",50381,18,46,130441,19.2,21.2,7.614923779,3.626756519,7.116667,1067,8125.123672
"Pennsylvania Greene","Pennsylvania","Greene",19,32,26,47,21,6,"2163:1","936:1",36,4.9,20,11,638,"Pennsylvania",75.8,640,449,63,NA,12,13,11,NA,13,6,36,7,"1521:01:00",50956,14,57,36506,19.4,18.9,6.284740098,3.143668483,5.941667,2700,16968.79827
"Pennsylvania Lackawanna","Pennsylvania","Lackawanna",20,29,26,91,21,6,"1317:1","574:1",50,4.6,20,9.9,639,"Pennsylvania",76.6,3282,422,52,7,12,14,12,NA,12,4,33,7,"727:01:00",52872,18,188,210793,20.5,20,8.987969679,5.022994299,7.9166665,6820,61297.95321
"Pennsylvania Lancaster","Pennsylvania","Lancaster",15,32,21,78,18,12,"1403:1","710:1",58,3.4,10,11.2,640,"Pennsylvania",80.1,5459,292,50,6,11,13,10,NA,10,5,31,11,"1103:01:00",66270,11,114,543557,23.5,17.9,11.1104486,6.83929972,9.6,16131,179222.6464
"Pennsylvania Lebanon","Pennsylvania","Lebanon",16,35,19,85,20,9,"1684:1","384:1",53,3.8,15,12.9,641,"Pennsylvania",78.8,1716,338,56,6,11,12,11,NA,9,3,34,10,"1140:01:00",61087,14,129,141314,22.7,19.4,11.03703212,6.786101149,9.625,7319,80780.03809
"Pennsylvania Lehigh","Pennsylvania","Lehigh",18,31,21,82,19,8,"983:1","539:1",56,4.6,17,11.2,642,"Pennsylvania",79.4,3934,312,45,6,12,13,12,NA,10,4,34,9,"625:01:00",62139,16,317,368100,22.6,16.7,9.022779536,5.298768147,8.066667,2673,24117.8897
"Pennsylvania Lycoming","Pennsylvania","Lycoming",19,38,26,59,19,7,"1265:1","608:1",51,4.8,18,10.1,643,"Pennsylvania",78.2,1530,359,53,7,11,13,12,NA,13,7,37,7,"589:01:00",53820,18,93,113664,20.5,19.3,7.246699577,3.448844915,6.6,317,2297.203766
"Pennsylvania Mercer","Pennsylvania","Mercer",19,33,26,85,19,6,"1574:1","615:1",44,4.7,24,9.9,644,"Pennsylvania",76.8,1744,409,68,7,12,13,12,NA,13,6,38,7,"1054:01:00",48788,16,73,110683,19.4,21.7,9.938603483,5.261250295,9.2,7897,78485.1517
"Pennsylvania Monroe","Pennsylvania","Monroe",17,33,25,86,19,7,"2367:1","878:1",46,5.4,16,9.9,645,"Pennsylvania",78.5,2189,350,54,7,11,13,9,NA,10,9,38,8,"1265:01:00",63318,18,90,169507,19.6,17.2,7.776401193,4.857311624,7,5404,42023.67205
"Pennsylvania Montgomery","Pennsylvania","Montgomery",13,26,19,95,23,5,"718:1","300:1",59,3.4,7,9.2,646,"Pennsylvania",80.9,7892,265,33,4,9,11,8,NA,9,4,33,5,"1034:01:00",90155,12,268,828604,21.5,17.8,8.740060578,5.508588512,7.458333,7417,64825.02931
"Pennsylvania Northampton","Pennsylvania","Northampton",16,32,27,87,20,6,"1204:1","451:1",55,4.4,14,10,647,"Pennsylvania",79.9,3405,304,30,5,11,12,11,NA,9,4,36,7,"616:01:00",68217,17,158,304807,20,19,10.93702328,6.857425746,9.4,11580,126650.7296
"Pennsylvania Philadelphia","Pennsylvania","Philadelphia",21,28,24,100,21,8,"1449:1","384:1",47,5.5,34,11.2,648,"Pennsylvania",76.1,23199,475,74,8,14,15,11,NA,20,0,41,10,"719:01:00",46149,10,754,1584138,21.7,13.7,10.12505233,5.63652306,8.9,33741,341629.3906
"Pennsylvania Susquehanna","Pennsylvania","Susquehanna",18,34,34,40,19,8,"2732:1","1624:1",40,4,20,9.2,649,"Pennsylvania",77.7,629,366,48,NA,12,13,12,NA,11,2,36,9,"2136:01:00",52573,21,46,40589,18.5,23.7,6.554982577,3.344156106,5.8,886,5807.714563
"Pennsylvania Tioga","Pennsylvania","Tioga",18,36,27,57,19,8,"1943:1","867:1",45,5.2,21,8.5,650,"Pennsylvania",78.5,560,346,52,NA,12,13,13,NA,12,5,32,9,"1235:01:00",48799,15,58,40763,20,22,7.284274904,4.142432548,6.520833,3403,24788.3875
"Pennsylvania Washington","Pennsylvania","Washington",16,34,23,74,19,5,"1304:1","947:1",45,4.3,11,10.3,651,"Pennsylvania",77,3258,406,41,4,11,12,13,NA,11,7,34,5,"1127:01:00",63119,17,61,207346,19.5,20.6,9.333091102,4.880580681,8.470833,26501,247336.2473
"Pennsylvania Westmoreland","Pennsylvania","Westmoreland",19,31,25,86,20,5,"1292:1","637:1",48,4.4,12,9.8,652,"Pennsylvania",77.6,5257,377,38,4,12,13,12,NA,11,8,35,6,"1235:01:00",58398,17,74,350611,18.3,22.7,9.827092733,5.462804985,8.9,11934,117276.5247
"Pennsylvania Wyoming","Pennsylvania","Wyoming",18,34,31,65,20,6,"1952:1","2080:1",48,4.5,17,9.5,653,"Pennsylvania",75.6,475,443,51,NA,11,13,12,NA,10,1,35,7,"1690:01:00",57599,20,83,27046,19.3,21.2,8.951237382,6.36080519,6.9625,55,492.318056
"Pennsylvania York","Pennsylvania","York",16,32,21,72,18,7,"1444:1","854:1",58,3.9,13,10.7,654,"Pennsylvania",78.9,5381,334,47,5,11,13,11,NA,10,5,37,8,"1126:01:00",65238,18,155,448273,22.1,17.4,10.1973666,6.082801664,9.0645835,8688,88594.72106
"Rhode Island Kent","Rhode Island","Kent",14,30,24,94,18,4,"1161:1","315:1",50,3.7,10,6.6,655,"Rhode Island",79.4,2042,320,36,4,11,14,10,89,10,5,35,4,"895:01:00",69089,12,334,163861,18.7,18.9,5.319396315,3.41923184,4.7,7516,39980.58271
"Rhode Island Providence","Rhode Island","Providence",14,29,27,96,19,7,"1053:1","209:1",47,4.4,23,7.5,656,"Rhode Island",79.4,6839,321,48,7,12,14,10,323,13,3,38,8,"786:01:00",56141,10,760,636084,20.5,15.3,7.524463473,4.506883642,6.6,22702,170820.3698
"Rhode Island Washington","Rhode Island","Washington",12,24,19,92,21,4,"1097:1","324:1",49,3.6,10,6.4,657,"Rhode Island",81.3,1314,259,35,4,10,12,8,47,10,9,33,4,"1357:01:00",86715,10,143,126179,16.5,20.7,5.049775236,3.50490544,4.333333,5245,26486.07111
"South Carolina Charleston","South Carolina","Charleston",16,27,21,80,23,14,"823:1","285:1",50,2.8,23,8.9,658,"South Carolina",79.1,4835,339,56,5,11,13,10,528,13,7,33,16,"483:01:00",62958,14,149,405905,19.7,16.4,7.547627697,4.395507507,6.9,21514,162379.6623
"South Carolina Chesterfield","South Carolina","Chesterfield",20,38,33,57,14,15,"3282:1","915:1",45,3.3,31,10,659,"South Carolina",74.2,954,548,75,11,14,15,17,221,16,7,38,19,"2691:01:00",39046,16,19,45754,21.9,18.3,8.332868253,4.231471705,7.8,5232,43597.5667
"South Carolina Colleton","South Carolina","Colleton",21,42,35,44,15,14,"1980:1","897:1",33,4,34,10,660,"South Carolina",72,871,603,85,9,14,16,16,479,16,13,41,17,"1299:01:00",39079,23,10,37660,22.3,20.2,8.603616885,4.959808049,7.6,4428,38096.81557
"South Carolina Edgefield","South Carolina","Edgefield",17,38,31,43,16,13,"2966:1","1803:1",47,3.5,25,10.3,661,"South Carolina",79.8,380,361,71,NA,12,13,18,534,14,4,38,16,"1932:01:00",48818,14,13,27052,18.1,18.8,8.66154091,4.56465338,7.9,5394,46720.35167
"South Carolina Florence","South Carolina","Florence",18,38,32,46,14,11,"990:1","470:1",43,3.7,26,10.2,662,"South Carolina",74.4,2510,513,80,13,13,14,16,653,17,10,39,15,"743:01:00",47949,9,32,138159,23.6,17,8.57395501,3.913395488,7.9,4462,38256.98726
"South Carolina Greenville","South Carolina","Greenville",15,29,22,80,15,13,"953:1","440:1",54,2.9,15,9.5,663,"South Carolina",78,6313,362,56,6,11,12,11,316,11,13,34,16,"725:01:00",61162,15,63,514213,23,15.8,9.051574216,5.222117985,8.4,9733,88098.97184
"South Carolina Lexington","South Carolina","Lexington",16,32,23,63,19,12,"1661:1","633:1",49,2.9,18,10,664,"South Carolina",77.9,3798,369,51,6,12,13,12,308,10,8,36,15,"1224:01:00",60627,17,59,295032,23.1,15.8,9.084301202,4.746607034,8.7,7013,63708.20433
"South Carolina Oconee","South Carolina","Oconee",17,32,23,64,16,15,"1885:1","1089:1",52,3.3,21,10.2,665,"South Carolina",76.7,1300,413,68,6,12,14,13,122,11,7,34,18,"968:01:00",50529,19,11,78374,19.9,23.2,6.638295974,4.172053999,5.991667,3465,23001.69555
"South Carolina Richland","South Carolina","Richland",16,33,25,76,19,11,"1163:1","303:1",45,3.4,20,9.8,666,"South Carolina",77.4,5030,395,75,8,12,13,11,818,16,11,36,14,"821:01:00",52611,13,116,414576,21.4,12.7,8.910447697,4.472006546,8.3,7573,67478.82041
"South Carolina Spartanburg","South Carolina","Spartanburg",17,32,28,77,16,13,"1461:1","879:1",48,3.1,21,9.5,667,"South Carolina",75.9,4881,455,56,5,12,14,12,279,12,14,38,16,"1082:01:00",53567,19,39,313888,23.1,16.2,9.059129721,4.192352728,8.6,9002,81550.28575
"South Carolina York","South Carolina","York",15,32,24,73,18,11,"2277:1","606:1",52,3.3,13,11,668,"South Carolina",78,3216,352,45,6,11,12,11,222,11,7,37,14,"1692:01:00",64904,15,48,274118,24.3,14.3,7.71862495,3.140812114,7.3541665,1136,8768.357943
"South Dakota Brookings","South Dakota","Brookings",13,28,15,84,20,9,"1713:1","819:1",59,2.8,9,6.9,669,"South Dakota",81.9,203,226,64,8,9,9,6,24,13,16,24,10,"1215:01:00",62109,15,7,35232,20.5,11.9,5.316219085,4.219091664,4.5,4192,22285.5904
"South Dakota Brown","South Dakota","Brown",14,32,21,79,18,11,"1567:1","283:1",52,2.8,11,5.9,670,"South Dakota",80.6,391,290,43,NA,10,9,10,28,11,8,25,13,"634:01:00",60082,12,78,39316,23.9,17.2,6.57270195,4.134381206,5.6,1436,9438.4
"South Dakota Codington","South Dakota","Codington",16,32,21,83,19,9,"1041:1","445:1",58,3,12,5.4,671,"South Dakota",81,272,282,37,NA,10,9,10,26,12,10,25,10,"1401:01:00",55580,10,60,28015,24,17.7,7.383476667,4.490317727,6.7645835,5854,43222.87241
"South Dakota Custer","South Dakota","Custer",14,31,24,79,16,12,"2173:1","1745:1",41,4,17,3.8,672,"South Dakota",80,126,284,NA,NA,9,9,16,NA,11,8,25,13,"2182:01:00",58806,25,19,8726,15.4,30,3.591896089,4.304198156,2.733333,8303,29823.51322
"South Dakota Hughes","South Dakota","Hughes",15,33,20,80,19,10,"1262:1","477:1",56,2.6,12,5.6,673,"South Dakota",80,182,293,71,NA,9,9,9,55,11,5,23,11,"630:01:00",70093,19,99,17650,24.1,17.3,3.986822615,3.716072972,3.35,3584,14288.77225
"South Dakota Jackson","South Dakota","Jackson",28,35,26,15,16,25,"","3307:1",11,4.9,42,4.8,674,"South Dakota",71.6,57,620,227,NA,17,16,13,NA,21,39,30,31,"827:01:00",34122,NA,2,3307,33.4,13.4,3.979259491,3.586697508,3.216667,8213,32681.6582
"South Dakota Minnehaha","South Dakota","Minnehaha",15,32,19,92,19,9,"1097:1","543:1",59,2.6,10,8,675,"South Dakota",79.2,1899,312,55,5,9,9,9,150,11,5,26,10,"464:01:00",60033,19,87,192876,25.4,13.1,7.310027952,4.919705582,6.3,9374,68524.20203
"South Dakota Pennington","South Dakota","Pennington",16,29,19,94,18,12,"1113:1","364:1",48,3.1,19,5.5,676,"South Dakota",79.8,1296,328,61,6,10,10,10,80,12,8,25,14,"482:01:00",58738,24,53,111729,22.9,18,6.510505929,4.542715664,5.704167,8403,54707.78133
"South Dakota Union","South Dakota","Union",13,30,24,72,20,8,"1503:1","1952:1",50,3.2,6,8.7,677,"South Dakota",81.2,169,287,NA,NA,8,9,13,NA,9,2,26,9,"473:01:00",80698,14,284,15619,24.2,18.1,8.207303405,5.122846873,7.1,10231,83968.92114
"Tennessee Blount","Tennessee","Blount",21,33,25,68,15,10,"1444:1","806:1",54,3.2,14,10.1,678,"Tennessee",77,2049,412,52,5,13,14,13,115,11,12,33,12,"1051:01:00",57939,17,95,131349,20.2,20.2,7.158382954,3.750371102,6.625,4399,31489.72662
"Tennessee Davidson","Tennessee","Davidson",18,30,23,91,16,14,"1059:1","315:1",49,2.6,25,10.6,679,"Tennessee",77,8725,410,79,7,12,13,10,602,15,7,39,17,"457:01:00",60799,14,630,692587,20.8,12.2,9.670807498,4.149060662,9.11875,13466,130227.0938
"Tennessee Dyer","Tennessee","Dyer",23,40,34,62,14,10,"2341:1","1866:1",49,4.6,26,10.2,680,"Tennessee",73.2,800,578,69,10,14,15,17,109,15,14,36,12,"718:01:00",44302,15,51,37320,23.9,17.6,7.281677054,3.435417732,6.9,2435,17730.88363
"Tennessee Hamilton","Tennessee","Hamilton",19,29,26,89,17,11,"902:1","469:1",50,3.4,18,10.9,681,"Tennessee",77.4,5244,406,63,7,12,14,13,313,14,14,37,13,"547:01:00",57196,14,285,364286,20.8,17.6,9.340423511,4.633559792,8.6,6000,56042.54107
"Tennessee Knox","Tennessee","Knox",20,31,21,84,17,10,"888:1","270:1",54,2.9,15,10.5,682,"Tennessee",76.4,6816,435,53,6,12,14,11,227,13,11,34,12,"469:01:00",55874,16,291,465289,21,15.8,9.188865151,4.835661419,8.6,7165,65838.2188
"Tennessee Lawrence","Tennessee","Lawrence",23,33,37,56,14,13,"2712:1","1250:1",49,4,25,9.9,683,"Tennessee",73.7,843,543,83,8,14,15,15,97,13,3,37,17,"781:01:00",43651,21,47,43734,25,17.8,7.182172102,3.459783827,6.6125,2556,18357.63189
"Tennessee Loudon","Tennessee","Loudon",19,29,29,52,13,13,"1932:1","1658:1",57,3.4,16,10.6,684,"Tennessee",77,929,422,64,6,12,13,17,118,10,11,33,15,"1179:01:00",58186,15,80,53054,19.4,26.4,6.760776774,3.851155935,6.3,3697,24994.59173
"Tennessee Madison","Tennessee","Madison",22,39,30,77,13,10,"763:1","395:1",51,3.8,29,10,685,"Tennessee",75.6,1623,472,80,9,14,15,14,298,18,11,37,12,"490:01:00",46651,15,115,97605,22.4,17,7.149433616,3.51716223,6.583333,2913,20826.30012
"Tennessee Maury","Tennessee","Maury",21,33,33,60,15,11,"1843:1","439:1",54,3.2,15,10,686,"Tennessee",76.1,1427,428,57,6,12,14,11,182,12,7,36,13,"761:01:00",57337,16,86,94340,23.4,15.9,6.920296175,3.242731865,6.5,2372,16414.94253
"Tennessee McMinn","Tennessee","McMinn",24,34,36,50,13,12,"2034:1","1440:1",44,4.1,22,10.3,687,"Tennessee",74.3,1059,528,68,6,14,14,11,96,13,5,36,15,"1066:01:00",46029,21,64,53285,21.2,19.6,7.742017559,4.136109341,7.5,2281,17659.54205
"Tennessee Montgomery","Tennessee","Montgomery",22,34,26,65,17,9,"2534:1","523:1",47,3.8,17,9.6,688,"Tennessee",75.8,2361,439,69,7,13,14,11,181,14,12,41,11,"1211:01:00",56102,21,123,205950,26.7,9.2,8.150697483,3.815985503,7.5,3618,29489.22349
"Tennessee Putnam","Tennessee","Putnam",24,28,27,47,15,12,"1494:1","451:1",52,3.6,19,9.6,689,"Tennessee",76,1157,446,56,6,14,15,11,153,14,9,33,15,"487:01:00",45512,21,95,78843,20.9,16.7,7.155541702,3.438134091,6.7,2512,17974.72076
"Tennessee Roane","Tennessee","Roane",20,34,24,65,13,11,"2791:1","2214:1",53,4.1,22,10,690,"Tennessee",75,1147,518,40,6,13,14,16,87,12,9,35,13,"1003:01:00",54440,27,78,53140,18.8,22.8,11.0359428,5.035938771,10.5,17223,190072.0428
"Tennessee Shelby","Tennessee","Shelby",20,36,25,87,13,12,"1197:1","694:1",47,4.2,33,9.5,691,"Tennessee",75.7,14228,472,80,10,14,14,12,781,20,11,38,15,"744:01:00",47924,10,375,935764,24.9,13.6,9.444539984,4.363432353,8.7,11604,109594.442
"Tennessee Sullivan","Tennessee","Sullivan",22,34,30,78,13,10,"790:1","830:1",50,3.7,25,10.2,692,"Tennessee",75.9,2930,469,50,6,14,15,15,108,12,13,35,13,"475:01:00",46024,18,148,157668,19.3,21.9,7.415986617,3.47112584,7.1,2496,18510.3026
"Tennessee Sumner","Tennessee","Sumner",18,31,32,65,17,10,"2039:1","1200:1",52,2.8,12,10.8,693,"Tennessee",77.8,2412,369,43,5,12,13,8,137,10,7,33,12,"1001:01:00",66171,18,133,187149,23.5,15.9,7.426120369,3.67674716,7,3191,23696.7501
"Texas Bell","Texas","Bell",15,35,23,78,20,13,"1225:1","463:1",39,4.1,19,10.1,694,"Texas",78.4,3599,371,69,7,11,12,11,248,19,13,36,17,"594:01:00",54292,18,230,355642,27.7,10.8,8.203788147,3.632428638,7.583333,645,5291.443355
"Texas Bexar","Texas","Bexar",15,29,23,86,20,17,"1351:1","563:1",38,3.3,24,10.4,695,"Texas",78.9,20421,350,54,6,12,13,9,376,11,11,34,21,"1024:01:00",54210,12,511,1986049,25.6,12.1,8.960538324,4.853427419,7.9,40049,358860.5993
"Texas Bowie","Texas","Bowie",17,47,39,41,18,16,"1492:1","1014:1",43,4.9,26,10,696,"Texas",75.6,1553,478,80,8,12,13,15,379,22,9,36,20,"674:01:00",47339,19,162,94324,23.7,16.5,9.225613238,4.3643533,8.7,3299,30435.29807
"Texas Brewster","Texas","Brewster",14,26,27,58,17,20,"1556:1","772:1",21,3.4,21,6.3,697,"Texas",80.9,136,373,NA,NA,12,13,12,NA,12,13,30,23,"1324:01:00",45670,31,78,9267,18.8,23.1,6.025157165,3.434047794,5.375,7526,45345.33282
"Texas Cameron","Texas","Cameron",13,31,25,66,15,29,"2047:1","1766:1",42,6.2,40,9.3,698,"Texas",80.9,3947,321,40,5,17,14,11,256,11,14,34,38,"1503:01:00",38106,8,277,423908,30.3,13.5,9.617781697,5.234903041,8.2,10917,104997.3228
"Texas Culberson","Texas","Culberson",19,35,25,93,14,26,"","",14,3.2,33,5.9,699,"Texas",81,30,368,NA,NA,17,16,15,NA,11,5,33,31,"1102:01:00",42164,NA,96,2204,22.7,21.5,5.144296578,4.313591886,4.4,1052,5411.8
"Texas Dallas","Texas","Dallas",15,30,24,96,18,23,"1440:1","679:1",51,3.7,21,10,700,"Texas",78.9,26180,344,56,6,12,12,8,808,17,7,33,27,"942:01:00",59838,11,760,2637772,26.1,10.7,9.700863767,4.668176455,8.995833,15353,148937.3614
"Texas Denton","Texas","Denton",13,25,20,94,22,13,"1578:1","893:1",52,3.2,8,10.9,701,"Texas",81.8,5705,231,34,4,10,11,9,184,14,4,29,15,"1545:01:00",88384,11,348,859064,24.7,10.2,8.193319863,3.961531913,7.5,6619,54231.58418
"Texas Ector","Texas","Ector",14,32,30,71,20,21,"1689:1","2133:1",39,2.7,18,7.8,702,"Texas",75.3,2083,491,68,6,11,12,8,188,10,6,31,26,"1257:01:00",60431,16,241,162124,30.1,9.7,7.962769361,4.057063221,7.2,12056,95999.14741
"Texas El Paso","Texas","El Paso",14,29,21,82,17,23,"2075:1","1083:1",32,4.2,29,9.5,703,"Texas",80.5,7606,314,40,4,14,13,10,308,10,10,36,29,"1282:01:00",43948,10,462,840758,27.1,12.3,9.393531984,6.031414031,8.1,28305,265883.9228
"Texas Ellis","Texas","Ellis",13,38,27,66,17,18,"2480:1","1574:1",50,3.3,14,10.5,704,"Texas",78.3,1921,339,54,6,10,11,13,198,14,6,34,22,"1812:01:00",76792,12,119,179436,26.7,12.8,8.610879462,4.044334514,7.858333,12071,103941.926
"Texas Fayette","Texas","Fayette",13,22,23,58,18,21,"2808:1","3621:1",44,2.8,19,9.6,705,"Texas",79.5,334,323,53,NA,11,12,16,103,13,8,30,23,"2112:01:00",55776,9,40,25349,20.2,25.4,7.586836388,4.060644589,6.6354165,6452,48950.26838
"Texas Galveston","Texas","Galveston",19,34,28,84,21,15,"1367:1","901:1",44,4.6,17,10.3,706,"Texas",77.7,4466,389,47,5,11,13,12,354,17,8,35,19,"1126:01:00",71959,16,230,337890,24.2,14.4,6.978334983,3.887803604,6.166667,7305,50976.73705
"Texas Harris","Texas","Harris",14,28,23,91,20,22,"1697:1","849:1",44,4.4,25,12,707,"Texas",79.6,44526,329,54,6,11,12,10,653,16,6,34,27,"1106:01:00",60241,10,616,4698619,26.6,10.5,9.81195449,4.59454005,9,60344,592092.5817
"Texas Harrison","Texas","Harrison",16,44,31,63,18,17,"3508:1","3707:1",46,4.4,23,10,708,"Texas",76.3,1050,446,50,7,12,13,15,170,20,4,34,21,"1668:01:00",50131,18,90,66726,25.3,16.9,8.675255362,4.902345827,7.9,8144,70651.27967
"Texas Hidalgo","Texas","Hidalgo",15,34,22,59,16,31,"2224:1","1695:1",46,6.6,40,9.4,709,"Texas",82.1,6490,291,41,5,16,15,11,198,11,21,33,42,"1234:01:00",38785,7,249,865939,32.6,11.1,10.27504411,5.618601228,8.791667,7767,79806.26758
"Texas Jeff Davis","Texas","Jeff Davis",14,27,24,48,15,29,"2280:1","450:1",24,3,34,5.6,710,"Texas",89.7,21,169,NA,NA,12,13,8,NA,10,5,30,30,"2252:01:00",51343,NA,2,2252,7.7,34.9,4.493357706,2.206216813,3.891667,513,2305.092503
"Texas Jefferson","Texas","Jefferson",17,35,32,65,17,20,"1768:1","1049:1",42,6.3,28,10,711,"Texas",75.9,3795,459,80,9,12,13,14,599,23,8,35,24,"853:01:00",48121,14,310,255001,24,14.4,8.92837212,4.374712109,8.1,15838,141407.5576
"Texas Kaufman","Texas","Kaufman",15,36,28,59,21,17,"3151:1","1090:1",50,3.5,15,10.6,712,"Texas",76.9,1528,394,42,6,10,12,10,202,15,4,32,20,"2339:01:00",67434,17,84,128622,27.7,11.9,8.163451104,3.961554657,7.4645835,7096,57927.84903
"Texas Kleberg","Texas","Kleberg",15,34,21,51,18,20,"2221:1","2395:1",37,5,33,9.1,713,"Texas",75.4,425,506,39,NA,14,13,6,109,13,17,33,24,"2224:01:00",42605,8,66,31129,24.2,12.9,9.276438319,5.316983481,7.991667,6296,58404.45566
"Texas Lubbock","Texas","Lubbock",15,35,27,90,19,16,"1216:1","644:1",45,3.1,20,8.2,714,"Texas",76.6,3776,434,52,5,12,13,8,177,16,8,34,19,"692:01:00",50377,16,481,307412,23.8,12.4,7.22652906,4.504253035,6.345833,5575,40287.89951
"Texas Maverick","Texas","Maverick",17,38,30,80,15,27,"3881:1","3440:1",26,8.1,35,8.2,715,"Texas",78.5,566,349,57,5,16,15,17,172,10,22,33,35,"2166:01:00",35594,6,178,58485,31.2,11.8,8.412850975,4.798902024,7.325,6767,56929.76255
"Texas McLennan","Texas","McLennan",16,33,24,66,19,18,"1344:1","653:1",49,3.6,23,10.4,716,"Texas",78.1,3035,389,55,7,12,13,10,208,18,20,32,22,"1384:01:00",48858,13,338,254607,24.7,14.4,7.236464696,3.875672221,6.483333,5791,41906.36705
"Texas Montgomery","Texas","Montgomery",15,26,22,84,20,17,"1613:1","1216:1",47,3.8,13,11.4,717,"Texas",79.7,5811,305,44,5,10,11,9,172,14,6,32,20,"1500:01:00",77598,16,208,590925,26.4,13.1,9.275741976,4.419374666,8.5,6490,60199.56542
